id,name,ti,price,time,iced,link,date_added,archived
6866148,ASUS ROG Strix RTX 3080 10G White,False,200000,2025-01-18 12:00:00,True,https://hardverapro.hu/apro/asus_rog_strix_rtx_3080_10g_white/friss.html,2025-01-14 12:00:00,True
6866001,KFA2 RTX 3080 SG LHR (1-Click OC Feature),False,180000,2025-01-18 12:00:00,False,https://hardverapro.hu/apro/kfa2_rtx_3080_sg_lhr_1-click_oc_feature/friss.html,2025-01-14 12:00:00,True
6863019,Gigabyte GeForce RTX 3080 TURBO 10GB videó kártya 3hó garancia GV-M3080TURBO-10GD,False,155000,2025-01-18 12:00:00,True,https://hardverapro.hu/apro/gigabyte_geforce_rtx_3080_turbo_10gb_video_kartya/friss.html,2025-01-14 12:00:00,True
6845688,MSI GEFORCE RTX 3080TI GAMING X TRIO LHR 12 GB,True,250000,2025-01-17 12:00:00,False,https://hardverapro.hu/apro/msi_geforce_rtx_3080ti_gaming_x_trio_lhr_12_gb/friss.html,2025-01-14 12:00:00,True
6845699,MSI GEFORCE RTX 3080 TI SUPRIM X LHR 12GB,True,250000,2025-01-17 12:00:00,True,https://hardverapro.hu/apro/msi_geforce_rtx_3080_ti_suprim_x_lhr_12gb/friss.html,2025-01-14 12:00:00,True
6838688,Garanciális EVGA GeForce RTX 3080 FTW3 ULTRA GAMING.,False,174999,2025-01-17 12:00:00,False,https://hardverapro.hu/apro/garancialis_evga_geforce_rtx_3080_ftw3_ultra_gamin_3/friss.html,2025-01-14 12:00:00,True
6838689,Garanciális Gainward GeForce Phoenix RTX 3080 Ti 12GB,True,199999,2025-01-17 12:00:00,False,https://hardverapro.hu/apro/garancialis_gainward_geforce_phoenix_rtx_3080_ti_1/friss.html,2025-01-14 12:00:00,True
6864789,EVGA RTX3080 XC3 ULTRA GAMING 10GB GDDR6X,False,160000,2025-01-17 12:00:00,True,https://hardverapro.hu/apro/evga_rtx3080_xc3_ultra_gaming_10gb_gddr6x/friss.html,2025-01-14 12:00:00,True
6859616,Zotac RTX 3080 AMP HOLO /Jótállással!/Dobozos!/Beszámítás!/Posta OK!,False,168000,2025-01-17 12:00:00,True,https://hardverapro.hu/apro/garancialis_gamer_szamitogep_pc_i5-9400f_gtx_1660/friss.html,2025-01-14 12:00:00,True
6864366,EVGA XC3 3080 Ti 12GB,True,230000,2025-01-17 12:00:00,True,https://hardverapro.hu/apro/evga_xc3_3080_ti_12gb/friss.html,2025-01-14 12:00:00,True
